Pedigree1,Pedigree2,Person1,Person2,theoretical_kinship,empiric_kinship,fishers_zscore
23,1,9943,3226,0.0,-0.06459913434633259,-2.483896119480586
31,19,24094,10272,0.0,-0.06458858038552735,-2.4834226838016242
23,17,19279,24818,0.0,-0.0645780264247221,-2.4829492487708134
29,23,5986,743,0.0,-0.0645780264247221,-2.4829492487708134
25,23,15940,743,0.0,-0.06455691850311161,-2.4820023806532205
23,8,3121,7395,0.0,-0.06454636454230638,-2.4815289475662228
31,23,15802,19279,0.0,-0.06449359473828015,-2.4791617918449114
10029,17,434,19113,0.0,-0.06448304077747491,-2.4786883626426315
23,17,3121,26856,0.0,-0.06444082493425396,-2.476794652303195
23,19,3760,720,0.0,-0.06439860909103298,-2.4749009523100827
31,23,19770,743,0.0,-0.06425085363975959,-2.4682730837120177
10040,25,234,11822,0.0,-0.06411365214929148,-2.462118747451975
23,2,283,14695,0.0,-0.06367038579547131,-2.44223624904611
31,23,10372,19279,0.0,-0.06358595410902938,-2.438449234494062
23,17,743,24818,0.0,-0.06355429222661367,-2.4370291145657945
25,17,24192,6637,0.0,-0.06346986054017174,-2.4332421561370943
23,3,25271,21688,0.0,-0.06340653677534029,-2.4304019640617947
23,19,743,18679,0.0,-0.06336432093211931,-2.428508515401649
23,11,3121,7670,0.0,-0.06335376697131406,-2.428035154826049
17,1,12004,9218,0.0,-0.0633326590497036,-2.427088435581423
23,19,743,2500,0.0,-0.0632587813240669,-2.423774938232931
10040,17,234,20334,0.0,-0.06324822736326165,-2.4233015840080867
14,14,264,264,0.5,0.5459052823936741,3.2301426609953734
23,11,743,20318,0.0,-0.06313213379440398,-2.4180947293870783
23,11,743,7670,0.0,-0.06312157983359876,-2.417621382768943
25,17,23404,6637,0.0,-0.06303714814715682,-2.413834632609765
23,17,18496,12004,0.0,-0.06302659418635158,-2.413361291686494
24,17,10817,12004,0.0,-0.06300548626474109,-2.412414611736519
31,17,15802,26857,0.0,0.0629243740634019,3.22050201753122
31,23,19770,25271,0.0,-0.06291050061749394,-2.408154583233702
10040,17,234,10418,0.0,-0.06289994665668869,-2.407681249890032
31,31,14705,4257,0.25,0.19017347949220006,-2.403775324925577
17,3,26857,39,0.0,0.06275551069051805,3.212928746428696
17,17,19275,19275,0.5,0.5456308794127378,3.2126845788847382
25,17,23404,18645,0.0,-0.06274163724461006,-2.4005813253868964
17,14,26857,4078,0.0,0.0625444314744132,3.2034623841054914
19,17,720,22601,0.0,-0.06252000406769997,-2.3906416688846748
23,19,17654,720,0.0,-0.06248834218528426,-2.389221740553289
25,24,1269,19621,0.0,-0.06244612634206329,-2.3873285115519765
17,5,22601,70,0.0,-0.06238280257723185,-2.384488686837179
23,19,19279,8344,0.0,-0.06234058673401086,-2.3825954828753932
17,8,18645,5226,0.0,-0.0622983708907899,-2.380702288917379
14,14,4078,26732,0.0,0.062291136415087406,3.1921030804627843
10040,25,234,1269,0.0,-0.06221393920434797,-2.3769159309851404
31,19,27016,25222,0.0,0.06220670472864547,3.1883167259542953
19,19,1706,10272,0.0625,0.000297170645098134,-2.376469520729447
23,8,19279,19099,0.0,-0.06220338524354272,-2.376442639052495
31,23,24094,743,0.0,-0.062182277321932246,-2.375496057058611
25,25,3012,398,0.125,0.06333597853480633,-2.3743226455849284
23,17,743,18645,0.0,-0.06215061543951652,-2.3740761887446906
25,23,11822,3121,0.0,-0.06214006147871129,-2.3736029005534633
23,17,19279,11361,0.0,-0.0621189535571008,-2.372656326040478
23,19,3760,23699,0.0,-0.0621189535571008,-2.372656326040478
29,2,18775,14695,0.0,-0.062023967909853615,-2.3683967715570584
23,3,19279,17445,0.0,-0.06191842830180121,-2.3636639923297897
23,23,3760,25566,0.0,-0.061760118889722576,-2.3565649398808555
23,10,743,480,0.0,-0.06171790304650161,-2.354671882777104
31,23,19770,25256,0.0,-0.06171790304650161,-2.354671882777104
17,2,12004,6952,0.0,-0.061485715908786306,-2.344260245525933
14,11,264,11280,0.0,0.06145737351147331,3.1547145730108013
22,17,22190,22601,0.0,-0.061380176300733884,-2.339527781852727
27,23,14123,3760,0.0,-0.061348514418318165,-2.338108054757056
24,17,19621,19113,0.0,-0.0613062985750972,-2.3362150939075383
31,23,9277,743,0.0,-0.061285190653486706,-2.3352686171714363
23,23,18694,25566,0.0,-0.06122186688865527,-2.332429201707447
25,17,24192,18645,0.0,-0.06121131292785002,-2.3319559679458672
31,23,19770,22743,0.0,-0.06121131292785002,-2.3319559679458672
17,11,26857,4117,0.0,0.0611724165697318,3.141937106870588
23,19,17654,18679,0.0,-0.06112688124140808,-2.3281701199387665
29,17,14219,19275,0.0,0.06111964676570559,3.139570958567589
10008,31,92,24094,0.0,-0.06110577331979759,-2.3272236640679247
19,19,26591,10272,0.125,0.06441248253694097,-2.326036684268128
23,17,743,20334,0.0,-0.06101078767255042,-2.3229646429635893
25,17,11822,12004,0.0,-0.06095801786852423,-2.32059854154226
17,8,19113,5226,0.0,-0.06093690994691374,-2.3196521052526005
31,14,26817,264,0.0,0.060908567549600744,3.1301065184225743
23,17,3121,22601,0.0,-0.060894694103692776,-2.3177592400037685
23,17,283,26856,0.0,-0.06088414014288753,-2.3172860252181184
31,23,14705,19279,0.0,-0.06088414014288753,-2.3172860252181184
31,8,6885,109,0.0,-0.06086303222127705,-2.3163395974779366
28,14,9782,264,0.0,0.060771366059132616,3.1239547633679963
23,3,743,25532,0.0,-0.0607258307308089,-2.3101878766222494
17,10,19113,16886,0.0,-0.06071527677000366,-2.3097146715902492
23,23,25256,25566,0.0,-0.06069416884839319,-2.308768263352212
17,14,26857,12511,0.0,0.06065527249027496,3.1187495125998757
23,17,19279,12785,0.0,-0.060578075279535515,-2.3035630615259857
25,17,3094,16612,0.0,0.0605180709998068,3.112597947450492
23,17,19279,26856,0.0,-0.06050419755389883,-2.300250698632422
23,1,25271,3226,0.0,-0.06047253567148311,-2.2988311236354737
22,10,24468,16886,0.0,-0.060419765867456905,-2.2964651774302154
23,17,22743,26856,0.0,-0.06040921190665166,-2.2959919900066463
27,23,14123,19279,0.0,-0.06037755002423593,-2.29457243136897
25,23,23404,26274,0.0,-0.06036699606343068,-2.2940992463670633
25,24,24192,19621,0.0,-0.060261456455378275,-2.289367429613409
28,14,21962,25732,0.0,0.06024366801887052,3.1002951245047785
23,2,743,14695,0.0,-0.0602192406121573,-2.2874747198320327
22,10,10130,16886,0.0,-0.06015591684732586,-2.284635673267166
23,17,25256,22601,0.0,-0.06015591684732586,-2.284635673267166
31,23,10372,25271,0.0,-0.06014536288652062,-2.2841625009508175
23,5,392,70,0.0,-0.06010314704329965,-2.2822698177132823
19,19,23699,720,0.125,0.06542566277424416,-2.2805849326875802
23,3,22743,21688,0.0,-0.06001871535685772,-2.278484480149623
19,17,10272,12004,0.0,-0.05993428367041578,-2.2746991810887196
23,17,7079,26856,0.0,-0.05992372970961054,-2.274226021410595
24,19,19621,2500,0.0,-0.05992372970961054,-2.274226021410595
24,24,15061,22156,0.125,0.0655839721863228,-2.2734825522247863
17,5,309,21999,0.0,-0.059870959905584324,-2.271860232027423
19,17,3593,19113,0.0,-0.05982874406236336,-2.2699676113233864
23,3,743,8366,0.0,-0.05977597425833717,-2.2676018489352003
25,23,23404,3760,0.0,-0.05975486633672667,-2.2666555481746387
24,17,15061,19113,0.0,-0.05974431237592145,-2.2661823986927967
17,3,19113,17445,0.0,-0.0596598806894795,-2.2623972243864006
25,10,1269,16886,0.0,-0.0596598806894795,-2.2623972243864006
23,17,19279,1649,0.0,-0.0596598806894795,-2.2623972243864006
29,23,444,743,0.0,-0.0596598806894795,-2.2623972243864006
29,10,18775,6825,0.0,-0.05962821880706377,-2.260977793890747
25,17,15940,12004,0.0,-0.05961766484625854,-2.2605046515876097
17,17,19235,18645,0.0625,0.00291455292479806,-2.259546990164865
14,11,264,182,0.0,0.059568214527335066,3.0700129879358107
24,23,10817,9943,0.0,-0.05952267919901137,-2.2562463977352594
17,14,10418,264,0.0,0.05951544472330886,3.067647299367239
10040,31,234,63,0.0,-0.05949101731659563,-2.2548269905264613
11,3,11280,39,0.0,0.0594732288800879,3.0657547592498267
31,23,19770,18694,0.0,-0.05946990939498516,-2.253880722035312
10040,8,234,12043,0.0,-0.05945935543417991,-2.2534075886838303
29,10,18775,16886,0.0,-0.05944880147337467,-2.2529344559282674
23,5,17654,21999,0.0,-0.05943824751256943,-2.252461323768516
23,17,9943,12004,0.0,-0.059427693551764194,-2.2519881922044687
29,23,5986,3760,0.0,-0.059427693551764194,-2.2519881922044687
31,3,9277,25532,0.0,0.05942045907606169,3.0633890975136016
17,8,6637,19099,0.0,-0.059385477708543216,-2.250095671903176
31,23,152,19279,0.0,-0.059385477708543216,-2.250095671903176
31,31,4257,24094,0.125,0.06620665587383205,-2.2455450818562865
23,8,3121,5226,0.0,-0.0592799381004908,-2.2453644127966808
23,17,25271,309,0.0,-0.05926938413968556,-2.244891290155325
10040,17,234,18645,0.0,-0.059258830178880326,-2.2444181681079574
17,14,26857,25732,0.0,0.05919882589915161,3.053453480643177
23,19,743,720,0.0,-0.05919550641404886,-2.24157944829149
11,11,10579,15898,0.25,0.1936773944795403,-2.2412641429908864
10040,1,234,8228,0.0,-0.059174398492438385,-2.2406332130997098
11,3,19440,39,0.0,0.059146056095125396,3.0510878961785814
31,23,19770,392,0.0,-0.05914273661002266,-2.2392138647594395
31,23,63,3760,0.0,-0.05913218264921742,-2.2387407498315617
10040,17,234,12004,0.0,-0.05907941284519121,-2.2363751840789288
10040,25,234,23404,0.0,-0.05905830492358074,-2.2354289619230285
17,17,908,22601,0.0,-0.059037197001970236,-2.234482742134499
10040,11,234,10579,0.0,-0.058973873237138784,-2.2316440969645615
23,19,743,3593,0.0,-0.05895276531552831,-2.23069788663694
23,23,3760,9943,0.125,0.06654438261959977,-2.2303915892036232
17,3,12004,2039,0.0,-0.058910549472307346,-2.228805473070084
17,17,10418,26857,0.0,0.058903314996604846,3.04020639829479
10040,17,234,12785,0.0,-0.058889441550696864,-2.227859269829134
25,23,23404,25256,0.0,-0.05886833362908639,-2.2269130689486922
23,19,743,14432,0.0,-0.058847225707475886,-2.225966870427901
23,17,19279,22601,0.0,-0.05882611778586541,-2.2250206742659024
31,23,24094,3760,0.0,-0.05882611778586541,-2.2250206742659024
10040,24,234,15061,0.0,-0.05882611778586541,-2.2250206742659024
17,11,26857,11280,0.0,0.05881888331016292,3.03642160272537
31,11,19770,25910,0.0,-0.0587733479818392,-2.2226551941749935
31,11,10372,25910,0.0,-0.05865725441298154,-2.2174511897835094
25,17,5299,12004,0.0,-0.05865725441298154,-2.2174511897835094
17,2,12004,3416,0.0,-0.05861503856976058,-2.2155588421907924
17,11,26857,18979,0.0,0.05855503429003187,3.024594359452003
31,22,19770,22190,0.0,-0.0585200529225134,-2.211301094456074
23,14,18694,16636,0.0,-0.05849894500090292,-2.2103549347456735
23,19,283,8344,0.0,-0.05849894500090292,-2.2103549347456735
23,17,26274,26856,0.0,-0.058488391040097676,-2.2098818557697664
28,27,443,14123,0.0,0.05847060260358994,3.020809719133048
23,17,22743,12004,0.0,-0.05843562123607148,-2.2075164696788816
10040,24,234,10817,0.0,-0.05843562123607148,-2.2075164696788816
10008,31,92,63,0.0,-0.05842506727526623,-2.2070433942176835
23,8,18694,19099,0.0,-0.058403959353655756,-2.20609724505141
28,14,9782,4078,0.0,0.05835450903473227,3.0156058999069195
23,8,3760,7395,0.0,-0.05833008162801905,-2.202785741397471
25,23,398,743,0.0,-0.05830897370640858,-2.201839602757958
19,19,3593,10272,0.125,0.06718817422871953,-2.2015033457440794
23,8,26274,19099,0.0,-0.05819288013755092,-2.19663588199012
29,19,5986,720,0.0,-0.05814011033352471,-2.1942705776990086
23,17,19279,18645,0.0,-0.05812955637271946,-2.193797518588761
31,24,24094,19621,0.0,-0.05811900241191422,-2.1933244600609223
10040,28,234,443,0.0,-0.05810844845110898,-2.1928514021153847
17,8,12004,109,0.0,-0.05809789449030374,-2.1923783447520413
31,11,24094,13854,0.0,-0.05809789449030374,-2.1923783447520413
31,17,17673,26857,0.0,0.058048444171380276,3.0018870788778518
31,31,15802,10372,0.125,0.06751534701368202,-2.186821474543815
31,24,14705,19621,0.0,-0.05797124696064085,-2.1867017017640435
25,10,24192,480,0.0,-0.05796069299983559,-2.1862286519594694
31,24,24938,19621,0.0,-0.05796069299983559,-2.1862286519594694
27,17,23649,26857,0.0,0.0579534585241331,2.9976296133040643
29,17,5986,26856,0.0,-0.05789736923500415,-2.1833903653228446
31,24,9277,19621,0.0,-0.057886815274198915,-2.182917319580876
23,19,3760,18679,0.0,-0.05782349150936745,-2.1800790573041287
25,23,23404,9943,0.0,-0.05778127566614649,-2.1781868940404054
17,11,18645,7670,0.0,-0.05774961378373076,-2.1767677776711434
31,23,24938,19279,0.0,-0.05772850586212029,-2.175821702984568
23,19,25256,8344,0.0,-0.057675736058094076,-2.1734565263871364
27,25,17917,22041,0.0,-0.05766518209728883,-2.17298349280148
10040,22,234,6894,0.0,-0.05759130437165214,-2.169672273871303
31,31,1365,10472,0.125,0.06800082921072312,-2.165034270335716
10040,25,234,5229,0.0,-0.057485764763599734,-2.1649420101449928
11,10,7670,16886,0.0,-0.05744354892037876,-2.163049920784887
27,3,10069,4521,0.0,0.05743631444467626,2.9744509015445697
19,19,2500,720,0.125,0.06808526089716506,-2.1612450441070314
17,8,26857,12043,0.0,0.057351882758234336,2.9706667535918623
19,17,720,19235,0.0,-0.05728523950830013,-2.155954667629233
24,24,10817,394,0.125,0.0682224623876332,-2.155087458111311
23,8,392,19099,0.0,-0.05726413158668965,-2.1550086436382627
23,23,18694,18496,0.0625,0.00526808618436694,-2.1544095277467354
23,11,743,19440,0.0,-0.05721136178266344,-2.152643593697358
25,17,1269,309,0.0,-0.05721136178266344,-2.152643593697358
23,23,25566,392,0.0,-0.057200807821858206,-2.1521705854288666
31,31,19358,24094,0.0625,0.005331409949198387,-2.151580686300181
10040,25,234,15940,0.0,-0.05717969990024772,-2.151224570610716
23,8,18694,5226,0.0,-0.05716914593944248,-2.1507515640608434
25,23,1269,3121,0.0,-0.0571269300962215,-2.1488595435868665
17,11,26857,19440,0.0,0.05709858769890853,2.959314530127441
23,2,9943,14695,0.0,-0.057084714253000546,-2.1469675322685737
23,19,25271,23699,0.0,-0.05705305237058481,-2.1455485297841475
23,1,3121,9218,0.0,-0.05697917464494813,-2.1422375439839745
11,10,7670,480,0.0,-0.056968620684142886,-2.141764548296301
10027,23,374,743,0.0,-0.056968620684142886,-2.141764548296301
10040,5,234,70,0.0,-0.05693695880172717,-2.140345564656596
29,25,18775,22041,0.0,-0.056926404840921915,-2.1398725712507747
31,17,24938,18645,0.0,-0.05687363503689571,-2.137507612772461
23,19,743,2145,0.0,-0.05687363503689571,-2.137507612772461
10040,2,234,17893,0.0,-0.056852527115285226,-2.136561633369505
28,14,9782,12511,0.0,0.05681363075716701,2.9465436724387346
23,1,25271,17008,0.0,-0.05681031127206426,-2.1346696813960864
10040,11,234,12003,0.0,-0.05676809542884329,-2.1327777385269475
8,5,19099,24010,0.0,-0.05675754146803805,-2.1323047542314035
23,23,19279,3760,0.25,0.19604148169991448,-2.13148877678397
31,17,27016,26857,0.0,0.05671864510991983,2.94228681216621
19,17,23699,908,0.0,-0.056715325624817084,-2.130412822732978
23,11,283,20318,0.0,-0.05670477166401184,-2.1299398412787736
23,17,25271,26856,0.0,-0.05666255582079089,-2.128047921140355
23,8,9943,19099,0.0,-0.056641447899180394,-2.127101964476684
23,17,19279,20334,0.0,-0.05662033997756992,-2.126156010082231
25,23,23404,25271,0.0,-0.056609786016764675,-2.125683033735693
23,8,3121,12043,0.0,-0.05655701621273846,-2.1233181605056095
23,19,18694,18679,0.0,-0.0565148003695175,-2.1214262721182466
19,19,26591,2145,0.25,0.19628422279843497,-2.120211230638825
24,19,19621,13367,0.0,-0.05648313848710177,-2.120007361771305
23,17,3760,26856,0.0,-0.05646203056549129,-2.1190614243686814
23,5,19279,70,0.0,-0.05639870680065984,-2.1162236257290084
23,22,743,384,0.0,-0.0563881528398546,-2.115750661266635
23,17,3760,18645,0.0,-0.05637759887904936,-2.115277697368996
23,11,25271,7670,0.0,-0.05635649095743887,-2.1143317712674943
27,17,17951,12004,0.0,-0.05634593699663362,-2.1138588090634176
23,5,3121,21999,0.0,-0.05633538303582839,-2.113385847423648
19,19,18679,352,0.0,-0.05633538303582839,-2.113385847423648
17,11,12004,13854,0.0,-0.05631427511421792,-2.112439925836602
10040,24,234,19621,0.0,-0.056303721153412666,-2.11196696588911
10040,10014,234,186,0.0,-0.056303721153412666,-2.11196696588911
23,2,392,6952,0.0,-0.056293167192607414,-2.1114940065054966
31,23,10372,17654,0.0,-0.056293167192607414,-2.1114940065054966
23,17,743,19113,0.0,-0.056282613231802184,-2.111021047685656
17,17,12004,26856,0.0,-0.0562615053101917,-2.11007513173686
25,23,11822,3760,0.0,-0.05625095134938646,-2.1096021746076907
31,11,19770,13854,0.0,-0.05624039738858121,-2.1091292180418657
17,11,12004,20318,0.0,-0.05624039738858121,-2.1091292180418657
29,17,2154,22601,0.0,-0.05618762758455501,-2.1067644436591437
31,11,24094,25910,0.0,-0.05615596570213927,-2.1053455857827807
19,14,16617,264,0.0,0.05611706934402105,2.9153277624573883
27,17,17917,12004,0.0,-0.05610319589811308,-2.102980833901685
29,23,5986,25271,0.0,-0.05608208797650259,-2.1020349370829106
10029,23,434,25271,0.0,-0.05608208797650259,-2.1020349370829106
23,5,9943,70,0.0,-0.05606098005489211,-2.10108904251066
23,8,17654,7395,0.0,-0.056050426094086864,-2.1006160960667133
23,17,18496,26856,0.0,-0.055976548368450174,-2.097305486669769
24,23,19621,25566,0.0,-0.05596599440764493,-2.096832544713304
10006,17,66,26857,0.0,0.055905990127916236,2.9058688805155675
23,3,3760,17445,0.0,-0.055902670642813485,-2.093994904740298
29,23,5986,3121,0.0,-0.055902670642813485,-2.093994904740298
14,11,12511,4117,0.0,0.0558743282455005,2.904450067559876
23,3,743,2831,0.0,-0.05586045479959252,-2.092103155955952
28,28,9782,9782,0.5,0.5407338415991059,2.902367045437298
23,11,3121,20318,0.0,-0.05581823895637155,-2.0902114161217424
31,19,16139,3593,0.0,-0.05581823895637155,-2.0902114161217424
31,23,10372,743,0.0,-0.055797131034761076,-2.0892655495587986
31,31,24094,6885,0.0,-0.055786577073955824,-2.0887926171154922
